iter	Passed	Remaining
449	1068	1306
450	1070	1302
451	1071	1299
452	1073	1296
453	1075	1293
454	1077	1290
455	1079	1287
456	1081	1284
457	1082	1281
458	1084	1278
459	1085	1274
460	1087	1271
461	1089	1269
462	1091	1265
463	1092	1262
464	1094	1259
465	1096	1256
466	1097	1253
467	1099	1249
468	1102	1248
469	1104	1245
470	1106	1242
471	1108	1239
472	1109	1236
473	1111	1233
474	1112	1229
475	1114	1227
476	1116	1224
477	1118	1220
478	1119	1217
479	1121	1214
480	1122	1211
481	1124	1208
482	1125	1205
483	1127	1202
484	1129	1199
485	1131	1196
486	1132	1193
487	1134	1190
488	1135	1186
489	1137	1183
490	1138	1180
491	1141	1178
492	1142	1175
493	1144	1172
494	1146	1169
495	1147	1166
496	1149	1163
497	1151	1160
498	1155	1159
499	1158	1158
500	1159	1155
501	1161	1152
502	1163	1149
503	1164	1146
504	1166	1143
505	1168	1140
506	1169	1137
507	1171	1134
508	1173	1131
509	1175	1129
510	1176	1126
511	1178	1122
512	1180	1120
513	1181	1117
514	1183	1114
515	1184	1111
516	1186	1108
517	1187	1105
518	1189	1102
519	1190	1099
520	1193	1096
521	1194	1094
522	1196	1091
523	1198	1088
524	1200	1086
525	1202	1083
526	1203	1080
527	1205	1077
528	1207	1074
529	1208	1071
530	1210	1069
531	1212	1066
532	1213	1063
533	1215	1060
534	1217	1057
535	1219	1055
536	1220	1052
537	1222	1049
538	1224	1047
539	1226	1044
540	1228	1042
541	1229	1039
542	1231	1036
543	1233	1034
544	1235	1031
545	1237	1028
546	1239	1026
547	1240	1023
548	1242	1020
549	1243	1017
550	1245	1015
551	1247	1012
552	1248	1009
553	1250	1007
554	1252	1004
555	1254	1001
556	1255	998
557	1257	996
558	1259	993
559	1261	990
560	1262	987
561	1264	985
562	1265	982
563	1267	980
564	1269	977
565	1271	974
566	1272	972
567	1274	969
568	1276	966
569	1278	964
570	1280	961
571	1284	960
572	1286	958
573	1287	955
574	1289	952
575	1290	950
576	1292	947
577	1293	944
578	1296	942
579	1298	940
580	1300	938
581	1302	935
582	1303	932
583	1305	929
584	1307	927
585	1309	924
586	1311	922
587	1313	920
588	1315	917
589	1316	915
590	1318	912
591	1320	909
592	1321	907
593	1324	905
594	1326	902
595	1327	900
596	1329	897
597	1330	894
598	1332	892
599	1334	889
600	1336	886
601	1338	884
602	1340	882
603	1342	880
604	1343	877
605	1345	874
606	1347	872
607	1349	870
608	1351	867
609	1353	865
610	1355	863
611	1357	860
612	1359	858
613	1361	855
